Date,Description,Statement Description,Category,Debit,Credit,Balance
1/18/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-174.36,,15197.14
1/24/2022,Google Cloud,DEBIT CARD #XXXX 01/24 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-31.29,,15165.85
1/3/2022,Monkeybrains,DEBIT CARD #XXXX 01/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,17142.44
1/6/2022,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,15371.5
1/6/2022,Patreon,ACH CREDIT PATREON         -PATREON,Income,,729.06,17871.5
10/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,5238.13
10/18/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-140.03,,3285.54
10/25/2022,Crimson Group,ACH DEBIT CRIMSON GROUP IN SALE QUEERIOUS LABS  XXXX,Insurance,-654,,2631.54
10/28/2022,Mobile Deposit,MOBILE DEPOSIT,Income,,3000,5631.54
10/3/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX    XXXX@GOOGLE CA,Web Infrastructure,-31.21,,5206.92
10/4/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,2706.92
10/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,718.65,3425.57
11/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE  CLOUD XXXX XXXX XXXX XXXX    XXXX CA,Web Infrastructure,-32.01,,5524.53
11/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,5556.54
11/16/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-147.42,,3480.64
11/2/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,3024.53
11/7/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,603.53,3628.06
12/1/2022,Google Cloud,POS PURCHASE #XXXX GOOGLE  CLOUD XXXX XXXX XXXX XXXX    XXXX CA,Web Infrastructure,-31.18,,3374.46
12/1/2022,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,3405.64
12/19/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-287.78,,1205.17
12/28/2022,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,3205.17
12/29/2022,PayPal Transfer,ACH CREDIT PAYPAL TRANSFER QUEERIOUS LABS  PAYPALXXXX,Income,,8209.03,11414.2
12/6/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,1492.95
12/6/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,618.49,3992.95
2/1/2022,Monkeybrains,DEBIT CARD #XXXX 02/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,15090.85
2/17/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-163.59,,13119.07
2/24/2022,Google Cloud,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX GOOGLE *CLOUD XXXX XXXX    XXXX@GOOGLE CA XXXX,Web Infrastructure,-30.61,,13088.46
2/4/2022,Check #XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,12590.85
2/7/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,691.81,13282.66
3/1/2022,Monkeybrains,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX MONKEYBRAINS       415-974-1 CA XXXX,Internet,-75,,13013.46
3/17/2022,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-105.55,,11032.9
3/2/2022,Check #XXXX,CHECK# XXXX CHECK,Rent,-2500,,10513.46
3/25/2022,Google Cloud,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX GOOGLE  CLOUD XXXX XXXX    XXXX CA XXXX,Web Infrastructure,-31.38,,11001.52
3/28/2022,Amazon,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX AMZN MKTP US*XXXX XXXX  AMZN.COM/ WA XXXX,Purchase,-68.41,,10933.11
3/7/2022,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,624.99,11138.45
4/1/2022,Monkeybrains,POS PURCHASE #XXXX POS PURCHASE TERMINAL XXXX MONKEYBRAINS       415-974-1 CA XXXX,Internet,-75,,10858.11
