Date,Description,Statement Description,Category,Debit,Credit,Balance
1/14/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-105.07,,2122.06
1/2/2020,Monkeybrains,DEBIT CARD #XXXX 01/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,3688.27
1/27/2020,Amazon.com,DEBIT CARD #XXXX 01/27 AMZN MKTP US*R30 AMZN.COM/BILLWA,Purchase,-54.24,,2017.2
1/27/2020,Amazon.com,DEBIT CARD #XXXX 01/27 AMZN MKTP US*6H5 AMZN.COM/BILLWA,Purchase,-39.03,,2071.44
1/27/2020,Amazon.com,DEBIT CARD #XXXX 01/26 AMZN MKTP US*VW8 AMZN.COM/BILLWA,Purchase,-11.59,,2110.47
1/30/2020,Branch Deposit,DEPOSIT - BRANCH,Income,,1500,3517.2
1/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,1038.86,4727.13
1/8/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,2227.13
10/1/2020,Google (App Purchase from Cloud_01 Cc@),DEBIT CARD #XXXX 10/01 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-3.89,,4894.68
10/14/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-51.43,,5639.79
10/29/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,7139.79
10/31/2020,Monkeybrains,DEBIT CARD 10/31 MONKEYBRAINS     415-974-1313 CA,Internet,-150,,6962.12
10/31/2020,Google (App Purchase from Cloud_01 Cc@),DEBIT CARD 10/31 GOOGLE *CLOUD_01 CC@GOOGLE.COMCA,Web Infrastructure,-27.67,,7112.12
10/5/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,7308.58
10/5/2020,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,913.9,5808.58
10/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,882.64,8191.22
10/6/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,5691.22
11/13/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-69.93,,10968.13
11/2/2020,Monkeybrains,DEBIT CARD #XXXX 11/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,6887.12
11/30/2020,Google Cloud,DEBIT CARD #XXXX 11/30 GOOGLE*CLOUD 01E INTERNET     CA,Web Infrastructure,-27.57,,10940.56
11/4/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,4387.12
11/5/2020,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,5740,10127.12
11/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,910.94,11038.06
12/1/2020,Monkeybrains,DEBIT CARD #XXXX 12/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,7529.89
12/1/2020,Laser Cutter,DEBIT CARD #XXXX 11/30 PAYPAL *OCEANIAI 402-935-7733 CA,Purchase,-3335.67,,7604.89
12/15/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-105.08,,7167.95
12/2/2020,Ca Secretary,DEBIT CARD #XXXX 12/02 CA SECRETARY OF  916-6951338  CA,Corporate Compliance,-25,,7504.89
12/3/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,9004.89
12/3/2020,Laser Cutter,ACH DEBIT PAYPAL          -INST XFER,Purchase,-150,,8854.89
12/30/2020,Google Cloud,DEBIT CARD #XXXX 12/30 GOOGLE*CLOUD 01E INTERNET     CA,Web Infrastructure,-27.46,,7140.49
12/31/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,8640.49
12/7/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,918.14,9773.03
12/8/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,7273.03
2/1/2020,Monkeybrains,DEBIT CARD #XXXX 02/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,3442.2
2/14/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-148.53,,1728.37
2/26/2020,Branch Deposit,DEPOSIT - BRANCH ,Income,,3300,5028.37
2/5/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,942.2
2/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,934.7,1876.9
3/12/2020,Branch Deposit,DEPOSIT - BRANCH,Income,,1500,3400.8
3/17/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-121.13,,3279.67
3/2/2020,Monkeybrains,DEBIT CARD #XXXX 03/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,4953.37
3/3/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,825.89
3/3/2020,Amazon.com,DEBIT CARD #XXXX 03/03 AMZN MKTP US*F91 AMZN.COM/BILLWA,Purchase,-1627.48,,3325.89
3/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,1107.43,1933.32
3/9/2020,Amazon.com,DEBIT CARD #XXXX 03/08 AMZN MKTP US*EB3 AMZN.COM/BILLWA,Purchase,-32.52,,1900.8
4/1/2020,Monkeybrains,DEBIT CARD #XXXX 04/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,3204.67
4/14/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-142.76,,1572.46
4/28/2020,Branch Deposit,DEPOSIT - BRANCH,Income,,2975,4547.46
4/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,1010.55,4215.22
4/8/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,1715.22
5/1/2020,Monkeybrains,DEBIT CARD #XXXX 05/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,4472.46
5/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,1099.58,5572.04
5/8/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,3072.04
6/1/2020,Monkeybrains,DEBIT CARD #XXXX 06/01 MONKEYBRAINS     415-974-1313 CA,Internet,-75,,2997.04
6/8/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,987.54,3984.58
6/9/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,1484.58
7/21/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,5219.73
7/3/2020,Branch Deposit,DEPOSIT - BRANCH,Income,,2975,4459.58
7/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,957.17,6219.73
7/6/2020,PayPal Transfer,ACH CREDIT PAYPAL          -TRANSFER,Income,,802.98,5262.56
7/9/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,3719.73
8/13/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-67.49,,3573.1
8/4/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,2719.73
8/6/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,920.86,3640.59
9/1/2020,Branch Deposit,DEPOSIT - BRANCH,Income,,1475,5048.1
9/15/2020,Pacific Gas and Electric Company,ACH DEBIT PGANDE          -WEB ONLINE,Utilities,-40.89,,4898.57
9/3/2020,Anonymous Donor,ACH CREDIT XXXX -SENDER,Income,,1500,6548.1
9/8/2020,Patreon,ACH CREDIT PATREON         -PATREON,Income,,891.36,7439.46
9/9/2020,Check# XXXX,CHECK# XXXX CHECK WITHDRAWAL,Rent,-2500,,4939.46
