Date,Description,Statement Description,Category,Debit,Credit,Balance
12/27/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-112.53,,15521.32
12/26/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,2500,15633.85
12/26/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,300,13133.85
12/6/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2650,,12833.85
12/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,677.2,15483.85
12/2/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX    G.CO/HELP CA,Web Infrastructure,-31.86,,14806.65
12/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-225,,14838.51
11/20/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-99.74,,15063.51
11/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,677.26,15163.25
11/2/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2650,,14485.99
11/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX  G.CO/HELP CA,Web Infrastructure,-32.75,,17135.99
10/23/2023,Crimson Group in Sale Queerious Labs,ACH DEBIT CRIMSON GROUP IN SALE QUEERIOUS LABS  XXXX,Insurance,-974.73,,17168.74
10/23/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,18143.47
10/18/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-65.63,,16143.47
10/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,678.1,16209.1
10/3/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,15531
10/2/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-31.66,,18031
9/18/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-113.6,,18062.66
9/13/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,18176.26
9/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,591.89,16176.26
9/5/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,15584.37
9/5/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,18084.37
9/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE  CLOUD XXXX XXXX  XXXX-XXXX CA,Web Infrastructure,-32.81,,18159.37
8/16/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-137.72,,18192.18
8/16/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,18329.9
8/7/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,576.05,16329.9
8/4/2023,Check #XXXX,Check #XXXX CHECK,Check,-2500,,15753.85
8/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE LLC CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-32.66,,18253.85
7/19/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-145.96,,18286.51
7/17/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,2000,18432.47
7/10/2023,Check #XXXX,Check #XXXX CHECK,Check,-2500,,16432.47
7/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,562.25,18932.47
7/3/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-31.79,,18370.22
7/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,18402.01
6/20/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-160.34,,18477.01
6/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,532.27,18637.35
6/5/2023,Check #XXXX,Check #XXXX CHECK,Check,-2500,,18105.08
6/2/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-32.82,,20605.08
6/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,20637.9
5/17/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-143.82,,20712.9
5/8/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,20856.72
5/8/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,532.29,23356.72
5/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE  CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-31.61,,22824.43
5/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,22856.04
4/18/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-168.04,,22931.04
4/17/2023,Check #XXXX,Check #XXXX CHECK,Compliance,-25,,23099.08
4/17/2023,Check #XXXX,Check #XXXX CHECK,Compliance,-25,,23124.08
4/10/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,23149.08
4/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,532.71,25649.08
4/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX  INTERNET  CA,Web Infrastructure,-32.34,,25116.37
4/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,25148.71
3/30/2023,PayPal Transfer,ACH CREDIT PAYPAL TRANSFER QUEERIOUS LABS  PAYPALXXXX,Income,,4200,25223.71
3/20/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-141.04,,21023.71
3/20/2023,Mobile Deposit,MOBILE DEPOSIT,Income,,1000,21164.75
3/7/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,20164.75
3/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,532.65,22664.75
3/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE *CLOUD XXXX XXXX XXX@GOOGLE CA,Web Infrastructure,-29.16,,22132.1
3/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,22161.26
2/16/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-178.98,,22236.26
2/7/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,22415.24
2/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,532.78,24915.24
2/3/2023,PayPal Transfer,ACH CREDIT PAYPAL TRANSFER QUEERIOUS LABS  PAYPALXXXX,Transfer,,15399.11,24382.46
2/1/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX  INTERNET  CA,Web Infrastructure,-32.22,,8983.35
2/1/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,9015.57
1/19/2023,Pacific Gas and Electric Company,ACH DEBIT PGANDE WEB ONLINE QUEERIOUS LABS XXXX XXXX,Utilities,-286.24,,9090.57
1/10/2023,Check #XXXX,Check #XXXX CHECK,Rent,-2500,,9376.81
1/6/2023,Patreon,ACH CREDIT Patreon Patreon QUEERIOUS LABS ST-XXXX XXXX,Income,,569.64,11876.81
1/3/2023,Google Cloud,POS PURCHASE #XXXX GOOGLE*CLOUD XXXX XXXX XXXX-XXXX CA,Web Infrastructure,-32.03,,11307.17
1/3/2023,Monkeybrains,POS PURCHASE #XXXX MONKEYBRAINS       415-974-1 CA,Internet,-75,,11339.2
